                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.7553,                 1.8712,                 2.2042,                0.67285,                 0.5592,                0.63686,                0.31348,                 1.5578,                 1.6886,                 2.1805,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.6186,                 1.8766,                 2.1445,                0.64053,                  0.553,                0.61653,                0.31358,                 1.5579,                 1.7125,                 2.1561,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.6292,                 1.8211,                 2.1625,                 0.6502,                0.57143,                0.62534,                0.30552,                  1.601,                 1.7397,                 2.1654,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.6058,                  1.799,                 2.0948,                0.64814,                0.53456,                0.60951,                0.30717,                  1.537,                 1.7899,                 2.1273,               0.000713,               0.000713,               0.000713
                    133,                 1.6581,                 1.8192,                 2.1293,                0.68454,                0.52074,                0.61507,                0.31584,                 1.5214,                 1.7602,                 2.1254,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.6377,                 1.7685,                 2.1384,                0.64735,                0.53917,                0.62117,                0.32223,                 1.5254,                 1.7395,                 2.1283,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.6379,                 1.7372,                 2.1483,                0.65188,                 0.5023,                0.61339,                0.31742,                 1.5423,                 1.7176,                 2.1376,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.6571,                  1.753,                 2.1382,                0.66061,                 0.5576,                0.61167,                0.30982,                 1.5851,                 1.7046,                 2.1634,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.6703,                 1.7813,                 2.1338,                0.65428,                0.53456,                0.61656,                0.29941,                 1.5751,                 1.7368,                 2.1833,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.6603,                 1.7603,                 2.1451,                0.69978,                 0.5023,                0.59907,                0.28564,                  1.619,                 1.7665,                 2.2456,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.6117,                 1.7311,                 2.1224,                0.69007,                0.51152,                0.60299,                0.29888,                  1.588,                 1.7396,                 2.2241,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.6844,                 1.8407,                 2.1449,                0.64502,                0.54378,                 0.6166,                0.30686,                 1.5634,                  1.714,                  2.173,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.6055,                 1.7828,                 2.1108,                0.65226,                0.56186,                0.61988,                0.30976,                 1.5741,                 1.7253,                 2.1748,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.6218,                 1.7663,                 2.0932,                0.64716,                0.58986,                0.63457,                 0.3179,                  1.576,                 1.7296,                 2.1728,               0.000614,               0.000614,               0.000614
                    143,                 1.6511,                 1.7114,                 2.1541,                0.67958,                0.55709,                0.63406,                0.31822,                  1.572,                 1.7086,                  2.167,              0.0006041,              0.0006041,              0.0006041
                    144,                 1.5914,                   1.74,                  2.094,                0.63148,                0.54839,                0.60422,                0.30003,                 1.5514,                 1.7366,                 2.1506,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.5627,                 1.7217,                 2.0831,                0.64867,                0.58986,                0.63886,                0.32094,                 1.5273,                 1.7093,                 2.1224,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.6314,                 1.7458,                 2.1094,                0.66383,                0.54839,                 0.6508,                0.32893,                 1.5186,                 1.6716,                 2.1288,              0.0005744,              0.0005744,              0.0005744
                    147,                 1.7281,                 1.8283,                 2.1837,                0.67923,                0.53456,                0.62915,                0.32307,                 1.5481,                 1.6775,                 2.1568,              0.0005645,              0.0005645,              0.0005645
                    148,                 1.7358,                 1.7611,                 2.1406,                0.66042,                0.52995,                0.60625,                0.31061,                 1.6172,                 1.6847,                 2.2136,              0.0005546,              0.0005546,              0.0005546
                    149,                  1.641,                 1.7702,                 2.0912,                0.68392,                0.53456,                 0.6175,                0.32134,                 1.5969,                 1.6608,                 2.1962,              0.0005447,              0.0005447,              0.0005447
                    150,                 1.6171,                 1.6279,                 2.0376,                0.71592,                0.54839,                0.64732,                0.33258,                 1.5561,                 1.6457,                 2.1576,              0.0005348,              0.0005348,              0.0005348
