                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.7213,                 1.6023,                 2.2935,                0.65249,                0.42643,                0.44392,                0.22893,                  1.664,                 1.6031,                 2.2352,               0.001505,               0.001505,               0.001505
                     53,                 1.7933,                   1.67,                 2.2593,                0.74681,                0.43399,                0.47066,                0.24356,                 1.6152,                 1.5216,                 2.1764,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.8075,                 1.6786,                 2.3279,                0.64149,                0.42838,                0.44595,                0.24762,                 1.5338,                 1.7005,                 2.1113,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.6625,                 1.6184,                 2.2244,                0.80476,                0.44638,                0.50204,                0.29277,                 1.4943,                 1.4711,                 2.0878,              0.0014753,              0.0014753,              0.0014753
                     56,                   1.68,                 1.5504,                 2.1716,                0.80645,                0.42601,                0.48603,                0.26544,                 1.5971,                 1.4923,                 2.2048,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.7013,                 1.5548,                  2.205,                0.77313,                0.42145,                0.48519,                0.27908,                 1.5305,                 1.4586,                 2.1191,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.8289,                 1.6423,                 2.2068,                0.84311,                0.45565,                0.51045,                0.28018,                 1.6615,                 1.4225,                 2.2169,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.7046,                 1.5927,                   2.23,                0.86639,                0.45278,                0.52485,                0.28346,                 1.6682,                 1.4568,                 2.2226,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.6781,                 1.6018,                  2.229,                0.86419,                 0.4414,                0.52013,                0.27504,                 1.5998,                 1.4159,                 2.1406,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.6895,                 1.5252,                 2.1997,                0.87833,                0.47382,                0.53027,                0.31492,                 1.4844,                 1.2835,                 2.0321,              0.0014159,              0.0014159,              0.0014159
