                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.0524,                 2.0327,                 2.6025,                0.56481,                0.71053,                0.66959,                0.29072,                 1.9016,                 1.8654,                 2.6076,                0.00134,                0.00134,                0.00134
                     53,                 1.9691,                 2.0072,                 2.5936,                0.61631,                0.73684,                0.67963,                0.29588,                 1.8843,                  1.849,                 2.6164,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.8851,                 1.9512,                 2.5418,                0.63756,                 0.7193,                0.73846,                0.33588,                 1.9168,                 1.6861,                 2.4436,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.9662,                 2.0096,                 2.5753,                0.66209,                0.74561,                0.72034,                0.30802,                  1.822,                 1.7684,                 2.4451,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.9563,                  1.868,                 2.6003,                0.68199,                0.65843,                0.74453,                0.33031,                 1.7744,                 2.1693,                 2.4534,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.7759,                 1.8714,                 2.4457,                0.68751,                0.64035,                0.72192,                0.34254,                 1.6875,                 2.2852,                 2.3175,               0.001274,               0.001274,               0.001274
                     58,                 1.8652,                 1.9126,                  2.461,                0.65212,                0.73997,                0.77837,                0.36566,                 1.7921,                 2.1345,                 2.3826,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.9844,                 1.8257,                 2.5017,                0.62447,                0.79825,                0.76753,                 0.3834,                 1.6774,                 1.9691,                 2.2406,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.9077,                 1.9126,                 2.5263,                0.64589,                  0.752,                0.76245,                0.32427,                 1.7867,                 1.8843,                 2.3792,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.8876,                 1.8538,                 2.4679,                0.73037,                0.67544,                0.76956,                0.35832,                 1.7355,                 1.8174,                  2.325,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.9151,                 1.9333,                 2.5521,                0.79441,                0.67794,                0.77802,                0.40375,                 1.6415,                 2.0002,                 2.2341,               0.001208,               0.001208,               0.001208
                     63,                 1.8335,                 1.8462,                 2.4495,                 0.7784,                0.73951,                0.84175,                 0.4418,                 1.5576,                  1.964,                 2.2004,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.7563,                 1.7848,                 2.4567,                0.83974,                0.67544,                0.78616,                0.40534,                 1.6177,                 1.6807,                 2.2077,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.8332,                 1.8222,                 2.4706,                 0.8175,                0.64912,                0.74491,                0.35687,                  1.743,                 1.8625,                 2.3616,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.8167,                 1.8298,                 2.4295,                0.79334,                0.60614,                0.77347,                0.37516,                 1.7634,                 1.7936,                 2.3534,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.8387,                 1.7817,                 2.3868,                0.65998,                0.78323,                0.82604,                0.44958,                 1.5957,                 1.3735,                 2.1777,               0.001142,               0.001142,               0.001142
                     68,                  1.821,                  1.826,                 2.4281,                 0.6862,                0.77193,                0.77277,                0.43503,                 1.5376,                 1.5293,                  2.154,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.8663,                 1.7858,                 2.3869,                 0.7659,                 0.7175,                0.80481,                0.41114,                 1.6405,                 1.5956,                 2.2416,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.7354,                 1.6828,                 2.3467,                0.76603,                0.77543,                0.83281,                0.40339,                 1.6336,                 1.6717,                  2.261,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.7998,                 1.7411,                 2.4003,                0.83637,                0.80707,                0.92301,                 0.4739,                 1.6421,                 1.4701,                 2.2552,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.7821,                 1.7817,                 2.3898,                0.82996,                0.72787,                0.85539,                0.37273,                 1.7813,                 1.6583,                 2.4163,               0.001076,               0.001076,               0.001076
                     73,                 1.7197,                 1.7047,                 2.3488,                0.84836,                0.77193,                0.88064,                0.45735,                 1.6521,                 1.4841,                 2.2354,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.8574,                  1.831,                 2.4015,                0.84657,                0.82284,                0.91344,                0.50324,                 1.5362,                 1.4614,                 2.1223,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.8097,                 1.6647,                 2.2884,                0.71665,                0.76316,                0.83998,                0.46517,                 1.5681,                 1.6594,                 2.2035,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.7604,                 1.7116,                 2.3164,                0.59362,                0.67914,                0.65391,                0.29918,                 1.6449,                   1.89,                 2.3165,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.6693,                 1.6249,                 2.2991,                 0.7607,                0.89231,                0.85884,                0.47554,                 1.5194,                 1.5097,                 2.0804,                0.00101,                0.00101,                0.00101
                     78,                 1.7324,                 1.6251,                 2.2587,                0.90552,                0.75664,                0.90816,                0.48257,                 1.6368,                 1.3753,                 2.0734,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.7187,                 1.5485,                 2.2685,                0.80602,                0.85965,                0.91152,                0.52046,                 1.4639,                 1.2635,                 1.9647,              0.0009836,              0.0009836,              0.0009836
