                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                  2.699,                 2.9933,                 3.3317,                0.15058,                0.16216,                0.08577,                0.02655,                 2.6595,                 3.6455,                 3.2869,               0.000722,               0.000722,               0.000722
                     74,                 2.8277,                 2.9356,                 3.2793,                0.07462,                0.10811,                0.07152,                0.02184,                 2.6503,                 3.6129,                 3.2527,               0.000704,               0.000704,               0.000704
                     75,                 2.7711,                 2.9066,                 3.2969,                0.07462,                0.10811,                0.07152,                0.02184,                 2.6503,                 3.6129,                 3.2527,               0.000686,               0.000686,               0.000686
                     76,                  2.693,                 2.8639,                 3.2953,                0.18836,                0.08108,                0.06653,                0.02029,                 2.6501,                 3.7049,                 3.2499,               0.000668,               0.000668,               0.000668
                     77,                   2.82,                 3.1364,                 3.2471,                0.18836,                0.08108,                0.06653,                0.02029,                 2.6501,                 3.7049,                 3.2499,                0.00065,                0.00065,                0.00065
                     78,                 2.7136,                 2.9916,                 3.3095,                0.16659,                0.08108,                0.06951,                0.01873,                 2.6524,                 3.8028,                 3.2553,               0.000632,               0.000632,               0.000632
                     79,                 2.5966,                 2.8788,                 3.2489,                0.16659,                0.08108,                0.06951,                0.01873,                 2.6524,                 3.8028,                 3.2553,               0.000614,               0.000614,               0.000614
                     80,                 2.8342,                 2.8867,                 3.3217,                0.11801,                0.10811,                0.08564,                 0.0256,                 2.5634,                 3.4666,                 3.1785,               0.000596,               0.000596,               0.000596
                     81,                 2.7515,                 2.9209,                 3.2713,                0.11801,                0.10811,                0.08564,                 0.0256,                 2.5634,                 3.4666,                 3.1785,               0.000578,               0.000578,               0.000578
                     82,                 2.6223,                 2.9345,                 3.2649,                0.15454,                0.16216,                0.13106,                0.04292,                 2.5297,                 3.3458,                 3.1398,                0.00056,                0.00056,                0.00056
                     83,                 2.7038,                 2.8766,                  3.231,                0.15454,                0.16216,                0.13106,                0.04292,                 2.5297,                 3.3458,                 3.1398,               0.000542,               0.000542,               0.000542
                     84,                 2.6601,                 3.0531,                 3.3079,                0.16882,                0.29644,                0.17464,                0.05689,                 2.5081,                 3.1984,                 3.1428,               0.000524,               0.000524,               0.000524
                     85,                 2.6892,                 2.8745,                 3.2133,                0.16882,                0.29644,                0.17464,                0.05689,                 2.5081,                 3.1984,                 3.1428,               0.000506,               0.000506,               0.000506
                     86,                 2.6264,                 2.7984,                 3.1803,                0.18059,                0.23244,                0.16446,                0.04722,                 2.5197,                  3.076,                 3.1364,               0.000488,               0.000488,               0.000488
                     87,                 2.8416,                 2.7403,                 3.1961,                0.18059,                0.23244,                0.16446,                0.04722,                 2.5197,                  3.076,                 3.1364,                0.00047,                0.00047,                0.00047
                     88,                 2.6022,                  2.809,                  3.166,                0.16483,                0.24324,                0.13798,                0.03819,                 2.5218,                 3.1072,                 3.1206,               0.000452,               0.000452,               0.000452
                     89,                 2.8877,                 2.8289,                 3.2564,                0.16483,                0.24324,                0.13798,                0.03819,                 2.5218,                 3.1072,                 3.1206,               0.000434,               0.000434,               0.000434
                     90,                 2.5992,                  2.744,                 3.2468,                0.21462,                 0.1625,                0.15996,                0.04496,                  2.533,                 3.1465,                 3.1259,               0.000416,               0.000416,               0.000416
                     91,                 2.7697,                 2.7756,                 3.1673,                0.21462,                 0.1625,                0.15996,                0.04496,                  2.533,                 3.1465,                 3.1259,               0.000398,               0.000398,               0.000398
                     92,                 2.7184,                 2.8926,                  3.221,                0.15079,                0.24324,                0.13394,                0.04268,                 2.5672,                 3.1837,                 3.1117,                0.00038,                0.00038,                0.00038
                     93,                 2.7194,                 2.8711,                 3.2229,                0.15079,                0.24324,                0.13394,                0.04268,                 2.5672,                 3.1837,                 3.1117,               0.000362,               0.000362,               0.000362
                     94,                 2.7302,                  2.786,                  3.265,                0.15445,                0.21622,                0.11911,                0.04323,                 2.5722,                 3.2267,                 3.0961,               0.000344,               0.000344,               0.000344
                     95,                 2.7278,                 2.8422,                 3.2803,                0.15445,                0.21622,                0.11911,                0.04323,                 2.5722,                 3.2267,                 3.0961,               0.000326,               0.000326,               0.000326
                     96,                 2.6526,                 2.6746,                 3.1942,                0.15196,                0.24324,                0.11689,                0.04214,                 2.5959,                 3.3447,                 3.0896,               0.000308,               0.000308,               0.000308
                     97,                 2.6129,                 2.7784,                 3.0918,                0.15196,                0.24324,                0.11689,                0.04214,                 2.5959,                 3.3447,                 3.0896,                0.00029,                0.00029,                0.00029
                     98,                 2.7975,                 2.9212,                 3.2197,                0.15113,                0.24324,                0.12023,                0.04338,                 2.5921,                 3.3698,                 3.0792,               0.000272,               0.000272,               0.000272
                     99,                 2.8738,                 2.8181,                 3.2043,                0.15113,                0.24324,                0.12023,                0.04338,                 2.5921,                 3.3698,                 3.0792,               0.000254,               0.000254,               0.000254
                    100,                  2.565,                 2.9185,                 3.2033,                0.15952,                0.27027,                 0.1359,                0.04985,                 2.5562,                 3.3561,                 3.0701,               0.000236,               0.000236,               0.000236
                    101,                 2.8155,                 3.7295,                 3.0952,                0.15952,                0.27027,                 0.1359,                0.04985,                 2.5562,                 3.3561,                 3.0701,               0.000218,               0.000218,               0.000218
                    102,                 2.7187,                 3.5018,                 3.1493,                0.23929,                0.13514,                0.13578,                0.04885,                 2.5265,                 3.3664,                  3.064,                 0.0002,                 0.0002,                 0.0002
                    103,                 2.6842,                 3.3821,                 3.0072,                0.23929,                0.13514,                0.13578,                0.04885,                 2.5265,                 3.3664,                  3.064,               0.000182,               0.000182,               0.000182
                    104,                  2.629,                 3.3971,                   3.04,                0.15993,                0.18919,                0.13629,                0.04929,                 2.5154,                 3.3449,                 3.0637,               0.000164,               0.000164,               0.000164
                    105,                 2.7412,                 3.3523,                 3.1111,                0.15993,                0.18919,                0.13629,                0.04929,                 2.5154,                 3.3449,                 3.0637,               0.000146,               0.000146,               0.000146
                    106,                 2.6661,                 3.2516,                 3.0641,                0.21693,                0.27027,                0.13985,                0.05131,                 2.4913,                 3.3163,                 3.0491,               0.000128,               0.000128,               0.000128
                    107,                 2.4373,                 3.1935,                 2.9273,                0.21693,                0.27027,                0.13985,                0.05131,                 2.4913,                 3.3163,                 3.0491,                0.00011,                0.00011,                0.00011
                    108,                 2.7262,                 3.2285,                 3.1641,                0.21067,                0.21622,                0.13317,                0.05165,                 2.4602,                 3.2793,                 3.0272,                9.2e-05,                9.2e-05,                9.2e-05
                    109,                 2.6247,                 3.3219,                 3.0664,                0.21067,                0.21622,                0.13317,                0.05165,                 2.4602,                 3.2793,                 3.0272,                7.4e-05,                7.4e-05,                7.4e-05
                    110,                 2.4729,                 3.2492,                 3.0367,                0.16334,                0.24324,                0.14014,                 0.0523,                  2.449,                 3.2454,                 3.0178,                5.6e-05,                5.6e-05,                5.6e-05
